State,Code,State2,Population,statesselected2.ID,statesselected2.Date / Time,statesselected2.Country,statesselected2.City,statesselected2.State,statesselected2.Shape,statesselected2.Summary,statesselected2.lat,statesselected2.lng,statesselected2.Date,statesselected2.Time
California,CA,.California,39167117,66,12/04/2016 15:03,USA,Mission Viejo,CA,Light,Bright lights dancing in the sky changing in brightness and size.,33.5965685,-117.6594049,12/04/2016,15:03
California,CA,.California,39167117,68,12/03/2016 19:30,USA,Corte Madera,CA,Disk,Huge long luminous red cigar disc craft seen in Marin County.,37.9254806,-122.5274754,12/03/2016,19:30
California,CA,.California,39167117,71,12/03/2016 16:00,USA,Whittier,CA,Formation,"I was standing outside in my backyard looking up when I noticed a 
condensation trail. I took out my phone to take a picture which is wh",33.9748932,-118.0336974,12/03/2016,16:00
California,CA,.California,39167117,81,12/03/2016 16:00,USA,Santa Cruz,CA,Light,1 dozen light orbs seen over 20 minutes travelling through sky,36.9735903,-122.0260569,12/03/2016,16:00
California,CA,.California,39167117,88,12/01/2016 18:17,USA,San Bernardino,CA,Light,Scanning type light appears over mountains.,34.1083449,-117.2897651,12/01/2016,18:17
California,CA,.California,39167117,93,11/29/16 22:27,USA,American Canyon,CA,Triangle,"I observed a large object flying in the night sky. It was loud and flying 
slow, but changed direction.",38.223457,-122.227043,11/29/16,22:27
California,CA,.California,39167117,95,11/29/16 19:45,USA,Fairfield,CA,Changing,"11/29/2016, Fairfield, CA, large floating object moving west to east, early 
evening.",38.2493581,-122.0399662,11/29/16,19:45
California,CA,.California,39167117,97,11/29/16 19:00,USA,Corona,CA,Circle,"I was watching television in the house when i was called outside by a 
friend of mine to observe some strange lights.",37.0066161,-121.9969062,11/29/16,19:00
California,CA,.California,39167117,98,11/28/16 19:00,USA,American Canyon,CA,Chevron,"This was a very large objuect in the sky and other autos stopped to check 
it out. I stopped in the middle of the road.",38.223457,-122.227043,11/28/16,19:00
California,CA,.California,39167117,121,11/26/16 15:00,USA,Vacaville,CA,Sphere,Bright light staying perfectly still in s western sky and below cloud line,38.3565773,-121.9877443,11/26/16,15:00
California,CA,.California,39167117,143,11/25/16 17:30,USA,Torrance,CA,Light,"Red, green ball of light moving sporadically, descending, hovering and 
ascending. ((NUFORC Note: Probably a star. PD))",33.8358492,-118.3406287,11/25/16,17:30
California,CA,.California,39167117,150,11/23/16 19:20,USA,Carlsbad,CA,Unknown,"The object I saw during the day was WHITE as SNOW, larger than any 
aircraft, I saw a corner of it after the sun had set thru my binocul",33.1580933,-117.3505938,11/23/16,19:20
California,CA,.California,39167117,155,11/22/16 05:20,USA,San Diego,CA,Sphere,"It was a white glowing sphere. It was traveling from West to north east. I 
lost track of what happened next, it disappeared from sky. C",32.7174209,-117.1627713,11/22/16,05:20
California,CA,.California,39167117,164,11/21/16 18:00,USA,Ventura,CA,Circle,"Round glowing ball changes shape. ((NUFORC Note: Probably a celestial 
body…a star or planet, we suspect. PD))",34.364744,-119.3105822,11/21/16,18:00
Florida,FL,.Florida,20613477,21,12/17/16 07:30,USA,Weston,FL,Circle,"Approx. 15 red ball shaped lights traveling in a line going across the sky. 
They appeared to coming from the S. ((anonymous report))",26.103632,-80.40310188,12/17/16,07:30
Florida,FL,.Florida,20613477,25,12/16/16 22:00,USA,Dade City,FL,Circle,"A giant ball of light falling in the Northern sky down to the Earth. 
((anonymous report))",28.3647248,-82.1959177,12/16/16,22:00
Florida,FL,.Florida,20613477,26,12/15/16 20:00,USA,Davie,FL,Egg,Ultra-Bright White Blimp like Object. ((anonymous report)),26.075729,-80.28410888,12/15/16,20:00
Florida,FL,.Florida,20613477,27,12/15/16 17:00,USA,Panama City,FL,Circle,"2nd time this week, same spot see time same circle yellowish super bright 
then dims out and gets bright. ((NUFORC Note: Venus. PD))",30.165156,-85.6605594,12/15/16,17:00
Florida,FL,.Florida,20613477,35,12/13/16 21:15,USA,Fort Lauderdale,FL,Circle,Rapidly moving green light flying south to north at very rapid pace.,26.1254381,-80.1381514,12/13/16,21:15
Florida,FL,.Florida,20613477,37,12/13/16 19:00,USA,Panama City,FL,Circle,"Bright, beaming ball. ((anonymous report))",30.165156,-85.6605594,12/13/16,19:00
Florida,FL,.Florida,20613477,42,12/13/16 18:30,USA,St. Johns,FL,Chevron,"We were walking across parking lot to restaurant and paused to take pics of 
full moon...1st pic a selfie, no craft....10ft further stop",29.9032284,-81.4145467,12/13/16,18:30
Florida,FL,.Florida,20613477,49,12/12/2016 20:45,USA,Jacksonville,FL,Light,"Looking in the east night sky, two airplanes where flying in an echelon 
formation, approximately 10,000 feet. Appearing between the two",30.3321838,-81.6556509,12/12/2016,20:45
Florida,FL,.Florida,20613477,56,12/09/2016 21:39,USA,Oldsmar,FL,Sphere,Blue orb appears on the photos of the moon. ((NUFORC Note: Lens flare. PD)),28.06906015,-82.6501914,12/09/2016,21:39
Florida,FL,.Florida,20613477,57,12/07/2016 00:00,USA,Saint Augustine,FL,Circle,"I was in my car driving South on San Marco Blvd in St. Augustine, Fl, 
Wednesday evening around 7. I noticed a foreign light in the sky",29.8946952,-81.3145394,12/07/2016,00:00
Florida,FL,.Florida,20613477,59,12/07/2016 07:00,USA,Orlando,FL,Fireball,"I was outside on back porch and saw a bright red orange color looked like a 
fire ball or exploded something in the air it was eastward.",28.5479786,-81.4127841,12/07/2016,07:00
Florida,FL,.Florida,20613477,62,12/06/2016 01:40,USA,Sunrise,FL,Circle,Multi Color changing UFO.,26.1482449,-80.3288858,12/06/2016,01:40
Florida,FL,.Florida,20613477,107,11/28/16 18:35,USA,St. Petersburg,FL,Circle,"Same light shape 2 different days same approximate time. ((NUFORC Note: 
Star or planet?? PD))",27.77330515,-82.6469933,11/28/16,18:35
Florida,FL,.Florida,20613477,110,11/27/16 19:30,USA,St. Petersburg,FL,Circle,Same light shape 2 different days same approximate time.,27.77330515,-82.6469933,11/27/16,19:30
Florida,FL,.Florida,20613477,115,11/26/16 22:00,USA,Davenport,FL,Circle,Slow fireball with no tail floating over Central Florida sky.,28.1614046,-81.6017416,11/26/16,22:00
Florida,FL,.Florida,20613477,116,11/26/16 19:27,USA,Venice,FL,Light,UFO spotting in Venice lights.,27.0998708,-82.4544131,11/26/16,19:27
Florida,FL,.Florida,20613477,125,11/25/16 20:00,USA,Vero Beach,FL,Sphere,"Saw a formation of approx. 2 doz. reddish/ orange glowing spherical objects 
float cross from the ocean side (east) to west across Hwy",27.6387163,-80.3975398,11/25/16,20:00
Florida,FL,.Florida,20613477,131,11/25/16 18:30,USA,Brandon,FL,Fireball,Ufo on fire in sky.,27.928464,-82.2880445,11/25/16,18:30
Florida,FL,.Florida,20613477,135,11/25/16 18:30,USA,Port Orange,FL,Unknown,"I saw a suspicious object in the sky at dusk today. The sky was already 
pretty dark, so I couldn't make out its exact shape.",29.10150985,-81.0105537,11/25/16,18:30
Florida,FL,.Florida,20613477,144,11/24/16 19:30,USA,Largo,FL,Unknown,"Erratic non-specific direction ""dot.""",27.9094665,-82.7873243,11/24/16,19:30
Florida,FL,.Florida,20613477,147,11/24/16 18:30,USA,Oldsmar,FL,Sphere,"Strange cream colored sphere that changed from looking like deflated 
balloon to hard white glass.",28.06906015,-82.6501914,11/24/16,18:30
Florida,FL,.Florida,20613477,151,11/22/16 21:10,USA,Largo,FL,Chevron,"Very dim white lighting, appr 5 evenly spaced lights down each leg of the 
chevron. Glided by in total silence, headed in a south direct",27.9094665,-82.7873243,11/22/16,21:10
Florida,FL,.Florida,20613477,152,11/22/16 11:00,USA,Floral City,FL,Chevron,Pyramid shaped shiny object in sky.,28.7211775,-82.3076844,11/22/16,11:00
Florida,FL,.Florida,20613477,162,11/21/16 23:35,USA,Key Colony Beach,FL,Light,"I saw what appeared to be lights outside that lit up and cast shadows on my 
front door’s window. ((NUFORC Note: Meteor?? PD))",24.7209744,-81.0186826,11/21/16,23:35
Florida,FL,.Florida,20613477,165,11/21/16 06:00,USA,Miramar Beach,FL,Sphere,"Miramar Beach Florida Moving Sphere Appears in Sunrise Pics. ((NUFORC Note: 
We suspect lens flares. PD))",30.38208845,-86.3640414,11/21/16,06:00
California,CA,.California,39167117,168,11/21/16 02:00,USA,Sherman Oaks,CA,Unknown,Orange and blue light up the sky!,34.1508718,-118.4489864,11/21/16,02:00
California,CA,.California,39167117,176,11/21/16 00:05,USA,Burbank,CA,Oval,Bright Object Floating In Sky..,34.1816482,-118.3258553,11/21/16,00:05
California,CA,.California,39167117,179,11/20/16 22:00,USA,San Jose,CA,Fireball,"FIREBALL COMES OUT THE SKY, WHILE THE CLOUDS TAKE SHAPE IN FORM..",37.3361905,-121.8905832,11/20/16,22:00
Florida,FL,.Florida,20613477,181,11/19/16 22:00,USA,Apollo Beach,FL,Light,Reddish-orange round ball of light flying over Apollo Beach.,27.7729445,-82.3981418,11/19/16,22:00
California,CA,.California,39167117,191,11/19/16 20:00,USA,San Marcos,CA,Circle,Group of 10-15 small circular lights in San Marcos.,33.1433723,-117.1661448,11/19/16,20:00
Florida,FL,.Florida,20613477,193,11/19/16 19:00,USA,Boynton Beach,FL,Circle,A bright red orange circle in the sky.,26.5253491,-80.0664308,11/19/16,19:00
Florida,FL,.Florida,20613477,200,11/19/16 18:30,USA,Brandon,FL,Triangle,"Brandon, Florida, Nov. 19, 2016 standing outside to see the space shuttle 
take off it was approximately 6:30 pm and towards the north",27.928464,-82.2880445,11/19/16,18:30
Florida,FL,.Florida,20613477,202,11/19/16 18:30,USA,Zephyrhills,FL,Fireball,Fireball launched into sky. ((anonymous report)),28.2336196,-82.1811946,11/19/16,18:30
Florida,FL,.Florida,20613477,203,11/19/16 11:30,USA,Largo,FL,Chevron,"I was in the back yard with my dogs and talking on the phone when I 
happened to see a blue chevron shaped object traveling from west to",27.9094665,-82.7873243,11/19/16,11:30
Florida,FL,.Florida,20613477,205,11/19/16 09:00,USA,Cape Coral,FL,Unknown,Strange blue and red lighted object in night sky.,26.6058996,-81.9807339,11/19/16,09:00
California,CA,.California,39167117,211,11/17/16 22:00,USA,Buena Park,CA,Light,"Outside in backyard looked up at night sky witnessed bright white light 
traveling very very fast for a few seconds then completely disa",33.870413,-117.9962164,11/17/16,22:00
California,CA,.California,39167117,212,11/17/16 19:00,USA,Hemet,CA,Disk,"Saw bright light hoovering in sky,and over the course of a couple hours we 
watched about 12 or so drones flying by the object. I've nev",33.778562,-117.0357665,11/17/16,19:00
California,CA,.California,39167117,213,11/16/16 23:00,USA,Elk Grove,CA,Circle,"Strange lights over Central Valley, CA.",38.4087993,-121.3716177,11/16/16,23:00
Florida,FL,.Florida,20613477,214,11/16/16 18:00,USA,Frostproof,FL,Light,"There were three big lights of amber color in the eastern sky very big but 
they were all in a row. Upon following the lights two more",27.7458626,-81.5306312,11/16/16,18:00
California,CA,.California,39167117,217,11/14/16 22:03,USA,Gardena,CA,Light,Strange light beam follows diamond shaped object.,33.888658,-118.3076479,11/14/16,22:03
Florida,FL,.Florida,20613477,221,11/14/16 19:30,USA,Deltona,FL,Triangle,"I was driving south east with 2 other people in the car. I seen an object 
in the sky triangular in shape, with a light on each corner,",28.9005446,-81.2636737,11/14/16,19:30
Florida,FL,.Florida,20613477,222,11/14/16 19:17,USA,Jacksonville,FL,Light,Bright Light in Clear Sky.,30.3321838,-81.6556509,11/14/16,19:17
California,CA,.California,39167117,223,11/14/16 01:00,USA,Fresno,CA,Light,"Saw an unidentified seemingly intelligent white orb or object moving along 
the surface and under water while camping at Pine Flat Lake.",36.7295295,-119.7088612,11/14/16,01:00
Florida,FL,.Florida,20613477,224,11/13/16 21:25,USA,Coconut Creek,FL,Oval,"3 orange lights over Coconut Creek, FL.",26.2714628,-80.18180782,11/13/16,21:25
California,CA,.California,39167117,228,11/13/16 18:30,USA,Benicia,CA,Light,"My brother and I were driving from martinez to where we were staying in 
benicia. As we were heading northwest on 780 about to exit I lo",38.049365,-122.1585776,11/13/16,18:30
California,CA,.California,39167117,231,11/13/16,USA,Stockton,CA,Disk,"2 disk shaped objects drop from the skyline vertical and accelerate 
horizontal to the clouds.",37.9577016,-121.2907795,NA,NA
Florida,FL,.Florida,20613477,232,11/12/2016 19:30,USA,Melbourne,FL,Light,"((HOAX??)) I saw about 25 to 30 objects. Only lights from the distance. 
Taking off and gaining altitude. ((anonymous report))",28.0836269,-80.6081088,11/12/2016,19:30
California,CA,.California,39167117,233,11/11/2016 21:05,USA,Terra Linda,CA,Light,"We were outside.a red light went by us from W to E, which turn to green 
this thing dropped down then shot to the right, then hovered.",38.0040893,-122.5496999,11/11/2016,21:05
California,CA,.California,39167117,237,11/11/2016 21:05,USA,Terra Linda,CA,Light,"Sitting outside. A red light streaked through from west to east. Changed to 
green. Dropped down. Shot right. Hovvered towards oakla",38.0040893,-122.5496999,11/11/2016,21:05
Florida,FL,.Florida,20613477,238,11/11/2016 18:30,USA,Boca Raton,FL,Sphere,"Giant orange sparkling fireball fell draught down then split into 4 smaller 
balls traveling at perfect angles for 5 sec. then maneuve",26.3586885,-80.0830983,11/11/2016,18:30
Florida,FL,.Florida,20613477,241,11/11/2016 18:15,USA,West Palm Beach,FL,Light,"Long White light hanging in E. Fl. Sky. Burst into 4 fire balls, and was 
gone.",26.7153425,-80.0533745,11/11/2016,18:15
Florida,FL,.Florida,20613477,244,11/11/2016 06:11,USA,Pompano beach,FL,Triangle,"I was outside in my backyard when I saw a orange light falling down at 
first I thought it was a shooting star until I was there were ot",26.2378597,-80.1247666,11/11/2016,06:11
California,CA,.California,39167117,245,11/11/2016 00:23,USA,Lamont,CA,Oval,Orb of light refueling power lines on leads to power failure.,35.2597222,-118.9142432,11/11/2016,00:23
California,CA,.California,39167117,252,11/10/2016 23:00,USA,Oceanside,CA,Light,"Light in sky changing color and moving sporadically in relative spot in 
sky.((NUFORC Note: We suspect a star. Anonymous report. PD))",33.1958696,-117.3794833,11/10/2016,23:00
California,CA,.California,39167117,253,11/10/2016 20:15,USA,Lemon Grove,CA,Light,"Yellowish orange lights, maybe spheres released red circles then 
disappeared in San Diego. ((anonymous report))",32.7425516,-117.0314171,11/10/2016,20:15
California,CA,.California,39167117,255,11/10/2016 18:00,USA,San Jose,CA,Formation,"3 objects moving across the sky, until 1 leaves the group.",37.3361905,-121.8905832,11/10/2016,18:00
California,CA,.California,39167117,256,11/10/2016 00:00,USA,La Habra,CA,Light,Reddish hyper-speed object.,33.9318775,-117.9461073,11/10/2016,00:00
California,CA,.California,39167117,263,11/09/2016 21:30,USA,San Rafael,CA,Circle,"White, circular glow of giant light above San Rafael on Wednesday night 
(11/09/2016)",37.9735346,-122.5310873,11/09/2016,21:30
California,CA,.California,39167117,264,11/09/2016 16:45,USA,Santa Ana,CA,Unknown,Orange light in Orange County.,33.7494951,-117.8732212,11/09/2016,16:45
Florida,FL,.Florida,20613477,267,11/08/2016 23:11,USA,San Antonio,FL,Triangle,Brilliant Blue and Red Triangular object in the sky,28.3361142,-82.2745307,11/08/2016,23:11
California,CA,.California,39167117,270,11/08/2016 22:00,USA,Hanford,CA,Light,"Large, 3 times larger than commercial plane, extremely bright off white 
light, more white than not, flashed. ((anonymous report))",36.3274502,-119.6456843,11/08/2016,22:00
California,CA,.California,39167117,273,11/07/2016 19:00,USA,Oregon House,CA,Circle,Large blue orb with light blue haze in central/eastern calif sky,39.3562796,-121.2791272,11/07/2016,19:00
California,CA,.California,39167117,276,11/07/2016 17:50,USA,Reseda,CA,Chevron,"Flashing red lights in chevron formation and rumbling sound in Los Angeles 
sky.",34.2011156,-118.5364741,11/07/2016,17:50
California,CA,.California,39167117,278,11/07/2016 17:49,USA,Porter Ranch,CA,Triangle,Red flashing lights in porter ranch seen by security.,34.2875607,-118.5528384,11/07/2016,17:49
California,CA,.California,39167117,279,11/07/2016 05:00,USA,Ventura,CA,Unknown,Silent huge dark blob blending in with the night sky.,34.364744,-119.3105822,11/07/2016,05:00
California,CA,.California,39167117,283,11/06/2016 05:00,USA,Rosamond,CA,Circle,Dark Gray Circle Cloud lasting for about 30 minutes.,34.871511,-118.2157747,11/06/2016,05:00
Florida,FL,.Florida,20613477,288,11/05/2016 23:15,USA,Titusville,FL,Circle,"Red orange-red round colored fast moving silent objects moving northeast to 
southwest. ((anonymous report))",28.6122187,-80.8075537,11/05/2016,23:15
California,CA,.California,39167117,292,11/05/2016 01:15,USA,Los Angeles,CA,Unknown,"Been observing an obj. that could be a helicopter, hovering over area of 
LAX. ((NUFORC Note: Star?? Anonymous report. PD))",34.0543942,-118.2439408,11/05/2016,01:15
California,CA,.California,39167117,294,11/04/2016 22:25,USA,Santa Rosa,CA,Cigar,"My friends and I were running late at night about 10:25ish. They were on 
skateboards right in front of me.",38.4404675,-122.7144313,11/04/2016,22:25
California,CA,.California,39167117,295,11/04/2016 05:00,USA,Pollock Pines,CA,Light,"Multiple flashing lights in trees north of highway 50, west of sly park 
exit.",38.7497125,-120.5776644,11/04/2016,05:00
California,CA,.California,39167117,296,11/04/2016 02:17,USA,Hollywood,CA,Chevron,"Massive ufo sighting--very clear (ufo account is reported with a 30yr 
personal past of knowledge of sky objects.",34.1028268,-118.3299898,11/04/2016,02:17
California,CA,.California,39167117,306,11/01/2016 22:00,USA,Eureka,CA,Triangle,Triangle shaped UFO Silently Flies Over Small Northern California Town.,40.8020712,-124.1636728,11/01/2016,22:00
Florida,FL,.Florida,20613477,307,11/01/2016 18:30,USA,Ft. Lauderdale,FL,Light,"I was watching coast helicopter hovering 10 feet off water for 30 mins in 
same spot , after about 20 mins , a boat came in and helicopt",26.1254381,-80.1381514,11/01/2016,18:30
California,CA,.California,39167117,310,11/01/2016 18:00,USA,Hemet,CA,Light,"After dark I saw a white light maybe 1000 feet in front of a low flying jet 
travelling due north at a relatively slow speed for a jet.",33.778562,-117.0357665,11/01/2016,18:00
California,CA,.California,39167117,313,11/01/2016 17:00,USA,Gilroy,CA,Changing,"I witnessed a white dot moving slowly back and forth slowly then would sit 
stationary and then fade out out and reappear in another spo",37.0065078,-121.5631722,11/01/2016,17:00
Florida,FL,.Florida,20613477,322,10/31/16 06:35,USA,Fort Myers,FL,Formation,"2 bright white lights, side by side.",26.47036109,-81.76928287,10/31/16,06:35
Florida,FL,.Florida,20613477,323,10/30/16 22:15,USA,Wellington,FL,Oval,"Orange object traveling from East to West in Wellington, Florida.",26.63799875,-80.25590771,10/30/16,22:15
California,CA,.California,39167117,325,10/30/16 21:30,USA,Oxnard,CA,Fireball,"Red fireballs over Oxnard Shores, CA. ((anonymous report))",34.1976308,-119.1803817,10/30/16,21:30
Florida,FL,.Florida,20613477,328,10/30/16 21:00,USA,Fort Lauderdale,FL,Sphere,"Orange light, occasionally blinking.",26.1254381,-80.1381514,10/30/16,21:00
Florida,FL,.Florida,20613477,330,10/30/16 21:00,USA,Cape Canaveral,FL,Circle,"6-7 Bright Orange Balls Of Light Flying South Out Of Port Canaveral Over 
The Banana .. Then Disappear One At A Time !!",28.3881698,-80.60326402,10/30/16,21:00
Florida,FL,.Florida,20613477,336,10/30/16 17:34,USA,Holmes Beach,FL,Disk,"Unknown object flying over the gulf at low altitude, moving very fast from 
north to south in the horizon.",27.4953156,-82.7109328,10/30/16,17:34
California,CA,.California,39167117,341,10/29/16 22:45,USA,Hemet,CA,Light,"3 circular lights going around in a circle and disappearing, repeat 10 
seconds after. ((anonymous report))",33.778562,-117.0357665,10/29/16,22:45
California,CA,.California,39167117,342,10/29/16 19:10,USA,San Diego,CA,Light,"Light beam witnessed above Mission Bay/Pacific Beach San Diego. ((anonymous 
report))",32.7174209,-117.1627713,10/29/16,19:10
California,CA,.California,39167117,343,10/27/16 22:00,USA,Topanga,CA,Circle,Zipping green lights with loud noise.,34.0908165,-118.5970195,10/27/16,22:00
California,CA,.California,39167117,347,10/26/16 23:00,USA,Wilmington,CA,Light,"My crew and i work night shift in the port of Los Angeles.Two times this 
month between 10pm and 12am we have seen ""blue shooting s",33.780018,-118.262571,10/26/16,23:00
California,CA,.California,39167117,348,10/26/16 21:05,USA,San Jose,CA,Circle,"Greenish, circular light fly across sky and slightly turn. Pretty close and 
all of a sudden, just vanished.",37.3361905,-121.8905832,10/26/16,21:05
California,CA,.California,39167117,352,10/26/16 21:00,USA,Sonoma,CA,Circle,"Bright light that slowed down, then accelerated out of sight.",38.5110803,-122.8473387,10/26/16,21:00
California,CA,.California,39167117,358,10/26/16 14:40,USA,Vallejo,CA,Teardrop,"At around 2:40 p.m. we noticed a helicopter flying over house once it left 
the vicinity we noticed a light hovering a above our house i",38.1040864,-122.2566366,10/26/16,14:40
Florida,FL,.Florida,20613477,360,10/26/16 08:20,USA,Spring hill,FL,Circle,"I looked to the E morning sky that was clear blue and saw a bright round 
shaped object really high up. ((anonymous report))",28.5558273,-82.4503731,10/26/16,08:20
Florida,FL,.Florida,20613477,363,10/24/16 23:30,USA,Deerfield Beach,FL,Light,White light zooming very fast across the sky.,26.318342,-80.0996305,10/24/16,23:30
California,CA,.California,39167117,368,10/24/16 23:00,USA,Port Hueneme,CA,Circle,"Strange white and orange circular light that we're hovering and suspending 
and moving back and forth in a strange fashion.",34.1477829,-119.1951073,10/24/16,23:00
Florida,FL,.Florida,20613477,373,10/23/16 00:00,USA,Miami,FL,Circle,"My native laguega is Spanish so I will describe what we sought aran Como 
las 6:30 mi mama,yo y amistades vimos una efera redonda.",25.800431,-80.2632189,10/23/16,00:00
California,CA,.California,39167117,375,10/23/16 22:00,USA,Coachella Valley,CA,Circle,3 Huge Strange Lights Dancing Over The Coachella Valley Area on Oct 23rd!,33.7666873,-116.3613659,10/23/16,22:00
Florida,FL,.Florida,20613477,378,10/23/16 21:30,USA,Middleburg,FL,Circle,"Orange circles in a group of 6 then1-2 at a time about 1/2 way across the 
sky they started blinking then disappeared. They disappeared",30.0557025,-81.90363734,10/23/16,21:30
Florida,FL,.Florida,20613477,383,10/23/16 20:00,USA,Pembroke Pines,FL,Unknown,"Orange and yellow spheres sighted on Pembroke Pines sky traveling from east 
to west direction.",26.02322025,-80.34123897,10/23/16,20:00
Florida,FL,.Florida,20613477,384,10/23/16 07:00,USA,Longwood,FL,Light,"On the morning of 10/23/16 my husband called me out to our back yard to 
look into the sky to show me he saw a white orange star making",28.7007225,-81.34927787,10/23/16,07:00
California,CA,.California,39167117,385,10/22/16 20:00,USA,San Dimas,CA,Fireball,"Two lights that looked like sparklers, Appeared over San Dimas,CA Then 
fizzled/faded out of sight.",34.1066756,-117.8067256,10/22/16,20:00
Florida,FL,.Florida,20613477,389,10/22/16 20:00,USA,Jacksonville,FL,Light,"For 2 weeks, a bright star-like light appears in SW sky every night around 
dusk, then disappears.",30.3321838,-81.6556509,10/22/16,20:00
California,CA,.California,39167117,393,10/22/16 13:50,USA,Shingle Springs,CA,Diamond,"Two diamond shaped craft rotating around each other with bright lights 
noted in broad daylight for 15 min.",38.671727,-120.9402762,10/22/16,13:50
Florida,FL,.Florida,20613477,395,10/22/16 02:32,USA,Lakeland,FL,Formation,"Massive ""V"" formation, envelops the sky.",28.0470698,-81.9539368,10/22/16,02:32
California,CA,.California,39167117,402,10/21/16 21:00,USA,Auburn,CA,Triangle,Orange object drops white orb.,38.8945939,-121.0739896,10/21/16,21:00
California,CA,.California,39167117,405,10/21/16 13:49,USA,La Puente,CA,Light,"Intelligently guided stretch flight flies over La Puente, October 21 1:45 
PM.",34.01979,-117.9503676,10/21/16,13:49
California,CA,.California,39167117,410,10/21/16 01:45,USA,Newhall,CA,Triangle,"It was yellowish orange moving across the sky and just disappeared. 
((anonymous report))",34.3798765,-118.5291916,10/21/16,01:45
California,CA,.California,39167117,411,10/20/16 20:30,USA,Cayucos,CA,Light,"Lights the size of stars in the sky, fluidly zigzagging across field of 
view.",35.4427512,-120.8921253,10/20/16,20:30
California,CA,.California,39167117,412,10/20/16 20:00,USA,Playa Del Rey,CA,Other,"Slow moving yellowish/red/orange sphere that stopped in mid air and blinked 
out of sight.",33.9550828,-118.4367495,10/20/16,20:00
Florida,FL,.Florida,20613477,419,10/20/16 19:40,USA,Orlando,FL,Sphere,"Large, bright, high altitude white sphere moving very slowly from north to 
southeast; then drops",28.5479786,-81.41278409,10/20/16,19:40
California,CA,.California,39167117,425,10/20/16 19:00,USA,Pacific Palisades,CA,Unknown,Multiple blinking lights under of Pacific Ocean. ((anonymous report)),34.0480643,-118.5264705,10/20/16,19:00
Florida,FL,.Florida,20613477,426,10/19/16 23:30,USA,Valrico,FL,Circle,"Blueish green light rapid unnaturally directions and an orangeish red light 
lands in residential area",27.9484265,-82.23621535,10/19/16,23:30
Florida,FL,.Florida,20613477,427,10/19/16 22:00,USA,Gainseville,FL,Light,"Red and white blinking lights moving like satellites north to south nearly 
20 different times.",28.9713742,-82.4887545,10/19/16,22:00
California,CA,.California,39167117,428,10/19/16 20:00,USA,San Jose,CA,Light,"Lights in the sky look like stars but move around and fade in and out and 
turn off and on",37.3361905,-121.8905832,10/19/16,20:00
California,CA,.California,39167117,429,10/18/16 19:00,USA,Roseville,CA,Light,"It was dark, no clouds. Suddenly a round, bright light appeared in the sky 
out of nowhere. Looked like a large spotlight and thought it",38.72338,-121.1858782,10/18/16,19:00
